[Info] Start offline testing, model: out_prod/TR/1000000/2020-04-08_22-10-53_rscale_False_statevars_8_hidinit_glorot_uniform_hidact_leakyrelu_batch_32_mem_200000_1000_opt_sgd_lr_0.01_isplit_n_100_k_10_d_0.01/1/models/weights_1000056.h5
[Info] Offline Testing with N=200, K=10, Delta=0.01. Num iterations=50
 7745/inf: episode: 116, level: 0, particle: 115, episode steps: 66, episode reward: 0.8696, episode rob: 0.1398, new memory entries: 67
 7812/inf: episode: 117, level: 0, particle: 116, episode steps: 67, episode reward: 0.8427, episode rob: 0.1711, new memory entries: 68
 7879/inf: episode: 118, level: 0, particle: 117, episode steps: 67, episode reward: 0.8396, episode rob: 0.1748, new memory entries: 68
 7947/inf: episode: 119, level: 0, particle: 118, episode steps: 68, episode reward: 0.8384, episode rob: 0.1763, new memory entries: 69
 8013/inf: episode: 120, level: 0, particle: 119, episode steps: 66, episode reward: 0.8983, episode rob: 0.1073, new memory entries: 67
 8080/inf: episode: 121, level: 0, particle: 120, episode steps: 67, episode reward: 0.8697, episode rob: 0.1396, new memory entries: 68
 8147/inf: episode: 122, level: 0, particle: 121, episode steps: 67, episode reward: 0.8396, episode rob: 0.1748, new memory entries: 68
 8213/inf: episode: 123, level: 0, particle: 122, episode steps: 66, episode reward: 0.8701, episode rob: 0.1392, new memory entries: 67
 8279/inf: episode: 124, level: 0, particle: 123, episode steps: 66, episode reward: 0.8733, episode rob: 0.1354, new memory entries: 67
 8346/inf: episode: 125, level: 0, particle: 124, episode steps: 67, episode reward: 0.8210, episode rob: 0.1972, new memory entries: 68
 8413/inf: episode: 126, level: 0, particle: 125, episode steps: 67, episode reward: 0.8735, episode rob: 0.1352, new memory entries: 68
 8480/inf: episode: 127, level: 0, particle: 126, episode steps: 67, episode reward: 0.8282, episode rob: 0.1885, new memory entries: 68
 8547/inf: episode: 128, level: 0, particle: 127, episode steps: 67, episode reward: 0.8409, episode rob: 0.1733, new memory entries: 68
 8616/inf: episode: 129, level: 0, particle: 128, episode steps: 69, episode reward: 0.8453, episode rob: 0.1681, new memory entries: 70
 8683/inf: episode: 130, level: 0, particle: 129, episode steps: 67, episode reward: 0.8576, episode rob: 0.1536, new memory entries: 68
 8749/inf: episode: 131, level: 0, particle: 130, episode steps: 66, episode reward: 0.8647, episode rob: 0.1453, new memory entries: 67
 8817/inf: episode: 132, level: 0, particle: 131, episode steps: 68, episode reward: 0.8688, episode rob: 0.1406, new memory entries: 69
 8884/inf: episode: 133, level: 0, particle: 132, episode steps: 67, episode reward: 0.8608, episode rob: 0.1498, new memory entries: 68
 8951/inf: episode: 134, level: 0, particle: 133, episode steps: 67, episode reward: 0.8177, episode rob: 0.2012, new memory entries: 68
 9017/inf: episode: 135, level: 0, particle: 134, episode steps: 66, episode reward: 0.8595, episode rob: 0.1514, new memory entries: 67
 9084/inf: episode: 136, level: 0, particle: 135, episode steps: 67, episode reward: 0.8697, episode rob: 0.1396, new memory entries: 68
 9151/inf: episode: 137, level: 0, particle: 136, episode steps: 67, episode reward: 0.8221, episode rob: 0.1959, new memory entries: 68
 9217/inf: episode: 138, level: 0, particle: 137, episode steps: 66, episode reward: 0.8803, episode rob: 0.1275, new memory entries: 67
 9284/inf: episode: 139, level: 0, particle: 138, episode steps: 67, episode reward: 0.8542, episode rob: 0.1576, new memory entries: 68
 9351/inf: episode: 140, level: 0, particle: 139, episode steps: 67, episode reward: 0.8430, episode rob: 0.1708, new memory entries: 68
 9418/inf: episode: 141, level: 0, particle: 140, episode steps: 67, episode reward: 0.8444, episode rob: 0.1691, new memory entries: 68
 9485/inf: episode: 142, level: 0, particle: 141, episode steps: 67, episode reward: 0.8420, episode rob: 0.1720, new memory entries: 68
 9551/inf: episode: 143, level: 0, particle: 142, episode steps: 66, episode reward: 0.8596, episode rob: 0.1513, new memory entries: 67
 9617/inf: episode: 144, level: 0, particle: 143, episode steps: 66, episode reward: 0.8593, episode rob: 0.1517, new memory entries: 67
 9684/inf: episode: 145, level: 0, particle: 144, episode steps: 67, episode reward: 0.8244, episode rob: 0.1931, new memory entries: 68
 9751/inf: episode: 146, level: 0, particle: 145, episode steps: 67, episode reward: 0.8534, episode rob: 0.1585, new memory entries: 68
 9819/inf: episode: 147, level: 0, particle: 146, episode steps: 68, episode reward: 0.8517, episode rob: 0.1606, new memory entries: 69
 9886/inf: episode: 148, level: 0, particle: 147, episode steps: 67, episode reward: 0.8401, episode rob: 0.1742, new memory entries: 68
 9953/inf: episode: 149, level: 0, particle: 148, episode steps: 67, episode reward: 0.8196, episode rob: 0.1990, new memory entries: 68
 10020/inf: episode: 150, level: 0, particle: 149, episode steps: 67, episode reward: 0.8389, episode rob: 0.1757, new memory entries: 68
 10087/inf: episode: 151, level: 0, particle: 150, episode steps: 67, episode reward: 0.8597, episode rob: 0.1512, new memory entries: 68
 10153/inf: episode: 152, level: 0, particle: 151, episode steps: 66, episode reward: 0.8903, episode rob: 0.1162, new memory entries: 67
 10220/inf: episode: 153, level: 0, particle: 152, episode steps: 67, episode reward: 0.8577, episode rob: 0.1535, new memory entries: 68
 10287/inf: episode: 154, level: 0, particle: 153, episode steps: 67, episode reward: 0.8173, episode rob: 0.2018, new memory entries: 68
 10354/inf: episode: 155, level: 0, particle: 154, episode steps: 67, episode reward: 0.8588, episode rob: 0.1522, new memory entries: 68
 10420/inf: episode: 156, level: 0, particle: 155, episode steps: 66, episode reward: 0.8734, episode rob: 0.1354, new memory entries: 67
 10487/inf: episode: 157, level: 0, particle: 156, episode steps: 67, episode reward: 0.8415, episode rob: 0.1726, new memory entries: 68
 10554/inf: episode: 158, level: 0, particle: 157, episode steps: 67, episode reward: 0.8592, episode rob: 0.1518, new memory entries: 68
 10621/inf: episode: 159, level: 0, particle: 158, episode steps: 67, episode reward: 0.8569, episode rob: 0.1544, new memory entries: 68
 10688/inf: episode: 160, level: 0, particle: 159, episode steps: 67, episode reward: 0.8609, episode rob: 0.1498, new memory entries: 68
 10755/inf: episode: 161, level: 0, particle: 160, episode steps: 67, episode reward: 0.8598, episode rob: 0.1510, new memory entries: 68
 10822/inf: episode: 162, level: 0, particle: 161, episode steps: 67, episode reward: 0.8422, episode rob: 0.1717, new memory entries: 68
 10888/inf: episode: 163, level: 0, particle: 162, episode steps: 66, episode reward: 0.8775, episode rob: 0.1307, new memory entries: 67
 10956/inf: episode: 164, level: 0, particle: 163, episode steps: 68, episode reward: 0.8508, episode rob: 0.1615, new memory entries: 69
 11023/inf: episode: 165, level: 0, particle: 164, episode steps: 67, episode reward: 0.8606, episode rob: 0.1501, new memory entries: 68
 11090/inf: episode: 166, level: 0, particle: 165, episode steps: 67, episode reward: 0.8595, episode rob: 0.1514, new memory entries: 68
 11157/inf: episode: 167, level: 0, particle: 166, episode steps: 67, episode reward: 0.8415, episode rob: 0.1726, new memory entries: 68
 11223/inf: episode: 168, level: 0, particle: 167, episode steps: 66, episode reward: 0.8787, episode rob: 0.1293, new memory entries: 67
 11289/inf: episode: 169, level: 0, particle: 168, episode steps: 66, episode reward: 0.8576, episode rob: 0.1536, new memory entries: 67
 11355/inf: episode: 170, level: 0, particle: 169, episode steps: 66, episode reward: 0.8779, episode rob: 0.1302, new memory entries: 67
 11421/inf: episode: 171, level: 0, particle: 170, episode steps: 66, episode reward: 0.8801, episode rob: 0.1277, new memory entries: 67
 11488/inf: episode: 172, level: 0, particle: 171, episode steps: 67, episode reward: 0.8507, episode rob: 0.1617, new memory entries: 68
 11555/inf: episode: 173, level: 0, particle: 172, episode steps: 67, episode reward: 0.8189, episode rob: 0.1998, new memory entries: 68
 11622/inf: episode: 174, level: 0, particle: 173, episode steps: 67, episode reward: 0.8587, episode rob: 0.1524, new memory entries: 68
 11689/inf: episode: 175, level: 0, particle: 174, episode steps: 67, episode reward: 0.8438, episode rob: 0.1699, new memory entries: 68
 11755/inf: episode: 176, level: 0, particle: 175, episode steps: 66, episode reward: 0.8936, episode rob: 0.1125, new memory entries: 67
 11823/inf: episode: 177, level: 0, particle: 176, episode steps: 68, episode reward: 0.8626, episode rob: 0.1478, new memory entries: 69
 11891/inf: episode: 178, level: 0, particle: 177, episode steps: 68, episode reward: 0.8192, episode rob: 0.1994, new memory entries: 69
 11958/inf: episode: 179, level: 0, particle: 178, episode steps: 67, episode reward: 0.8310, episode rob: 0.1851, new memory entries: 68
 12025/inf: episode: 180, level: 0, particle: 179, episode steps: 67, episode reward: 0.8428, episode rob: 0.1710, new memory entries: 68
 12092/inf: episode: 181, level: 0, particle: 180, episode steps: 67, episode reward: 0.8591, episode rob: 0.1518, new memory entries: 68
 12158/inf: episode: 182, level: 0, particle: 181, episode steps: 66, episode reward: 0.8604, episode rob: 0.1504, new memory entries: 67
 12225/inf: episode: 183, level: 0, particle: 182, episode steps: 67, episode reward: 0.8604, episode rob: 0.1504, new memory entries: 68
 12292/inf: episode: 184, level: 0, particle: 183, episode steps: 67, episode reward: 0.8591, episode rob: 0.1518, new memory entries: 68
 12360/inf: episode: 185, level: 0, particle: 184, episode steps: 68, episode reward: 0.8574, episode rob: 0.1539, new memory entries: 69
 12427/inf: episode: 186, level: 0, particle: 185, episode steps: 67, episode reward: 0.8703, episode rob: 0.1389, new memory entries: 68
 12493/inf: episode: 187, level: 0, particle: 186, episode steps: 66, episode reward: 0.8782, episode rob: 0.1299, new memory entries: 67
