[log] episode: 229001/350000, collisions: 3, elapsed time: 21838.874457017002
[log] episode: 230001/350000, collisions: 3, elapsed time: 21934.206502207002
[log] episode: 231001/350000, collisions: 3, elapsed time: 22029.42724715
[log] episode: 232001/350000, collisions: 3, elapsed time: 22124.865904791004
[log] episode: 233001/350000, collisions: 3, elapsed time: 22220.185479361004
[system] complete run: episode: 233445, end condition: COLLISION, reward: 1.129487622350846
[log] episode: 234001/350000, collisions: 4, elapsed time: 22316.061429803005
[log] episode: 235001/350000, collisions: 4, elapsed time: 22412.153986884005
[log] episode: 236001/350000, collisions: 4, elapsed time: 22508.146905903
[log] episode: 237001/350000, collisions: 4, elapsed time: 22604.302212979004
[log] episode: 238001/350000, collisions: 4, elapsed time: 22711.013827874005
[log] episode: 239001/350000, collisions: 4, elapsed time: 22807.479761734
[log] episode: 240001/350000, collisions: 4, elapsed time: 22903.928740242
[log] episode: 241001/350000, collisions: 4, elapsed time: 23000.333531175005
[log] episode: 242001/350000, collisions: 4, elapsed time: 23096.790681698003
[log] episode: 243001/350000, collisions: 4, elapsed time: 23193.268495189004
[log] episode: 244001/350000, collisions: 4, elapsed time: 23289.861860559
[log] episode: 245001/350000, collisions: 4, elapsed time: 23386.59321305
[log] episode: 246001/350000, collisions: 4, elapsed time: 23483.138095186005
[log] episode: 247001/350000, collisions: 4, elapsed time: 23579.677553140005
[log] episode: 248001/350000, collisions: 4, elapsed time: 23676.260619079003
[log] episode: 249001/350000, collisions: 4, elapsed time: 23772.851304851
[log] episode: 250001/350000, collisions: 4, elapsed time: 23869.420975917004
[log] episode: 251001/350000, collisions: 4, elapsed time: 23966.089743889002
[log] episode: 252001/350000, collisions: 4, elapsed time: 24063.024148959004
[log] episode: 253001/350000, collisions: 4, elapsed time: 24159.568959362005
[log] episode: 254001/350000, collisions: 4, elapsed time: 24256.095244958
[log] episode: 255001/350000, collisions: 4, elapsed time: 24352.921425927
[log] episode: 256001/350000, collisions: 4, elapsed time: 24449.626646029
[log] episode: 257001/350000, collisions: 4, elapsed time: 24546.012396420003
[log] episode: 258001/350000, collisions: 4, elapsed time: 24642.527800464
[log] episode: 259001/350000, collisions: 4, elapsed time: 24739.035601068004
[log] episode: 260001/350000, collisions: 4, elapsed time: 24835.572556594
[log] episode: 261001/350000, collisions: 4, elapsed time: 24932.019882400004
[log] episode: 262001/350000, collisions: 4, elapsed time: 25028.503889293002
[log] episode: 263001/350000, collisions: 4, elapsed time: 25124.949173209003
[log] episode: 264001/350000, collisions: 4, elapsed time: 25221.366704485
[log] episode: 265001/350000, collisions: 4, elapsed time: 25318.004920686
[log] episode: 266001/350000, collisions: 4, elapsed time: 25414.513510643003
[log] episode: 267001/350000, collisions: 4, elapsed time: 25511.268430273005
[log] episode: 268001/350000, collisions: 4, elapsed time: 25608.034583403
[log] episode: 269001/350000, collisions: 4, elapsed time: 25704.445636407
[log] episode: 270001/350000, collisions: 4, elapsed time: 25800.846390511004
[log] episode: 271001/350000, collisions: 4, elapsed time: 25897.246680041004
[log] episode: 272001/350000, collisions: 4, elapsed time: 25993.578762285004
[log] episode: 273001/350000, collisions: 4, elapsed time: 26090.021568552
[log] episode: 274001/350000, collisions: 4, elapsed time: 26186.507297762
[log] episode: 275001/350000, collisions: 4, elapsed time: 26282.91878747
[log] episode: 276001/350000, collisions: 4, elapsed time: 26379.414174004
[log] episode: 277001/350000, collisions: 4, elapsed time: 26475.817656043
[log] episode: 278001/350000, collisions: 4, elapsed time: 26572.223671415
[log] episode: 279001/350000, collisions: 4, elapsed time: 26668.625758846
[log] episode: 280001/350000, collisions: 4, elapsed time: 26765.048253351
[log] episode: 281001/350000, collisions: 4, elapsed time: 26861.581882488004
[log] episode: 282001/350000, collisions: 4, elapsed time: 26958.060736192005
[log] episode: 283001/350000, collisions: 4, elapsed time: 27054.557202388
[log] episode: 284001/350000, collisions: 4, elapsed time: 27151.106918553
[log] episode: 285001/350000, collisions: 4, elapsed time: 27247.564946355
[log] episode: 286001/350000, collisions: 4, elapsed time: 27343.917550746002
[log] episode: 287001/350000, collisions: 4, elapsed time: 27440.186916824
[log] episode: 288001/350000, collisions: 4, elapsed time: 27536.616744412
[log] episode: 289001/350000, collisions: 4, elapsed time: 27633.130285242005
[log] episode: 290001/350000, collisions: 4, elapsed time: 27729.582149002003
[log] episode: 291001/350000, collisions: 4, elapsed time: 27825.944575158
[log] episode: 292001/350000, collisions: 4, elapsed time: 27922.328400044004
[log] episode: 293001/350000, collisions: 4, elapsed time: 28018.810790836003
[log] episode: 294001/350000, collisions: 4, elapsed time: 28115.176453584005
[log] episode: 295001/350000, collisions: 4, elapsed time: 28211.518701956003
[log] episode: 296001/350000, collisions: 4, elapsed time: 28307.887477387005
[log] episode: 297001/350000, collisions: 4, elapsed time: 28404.257094298002
[log] episode: 298001/350000, collisions: 4, elapsed time: 28500.643635752
[log] episode: 299001/350000, collisions: 4, elapsed time: 28597.039264031002
